id,namePart,vin,model,year
1,Jeep,JH4CL96878C525510,Grand Cherokee,2000
2,Porsche,1G6AE1RXXF0846207,911,1990
3,Toyota,2HNYB1H47CH135562,Supra,1994
4,GMC,WVWAA7AJ2CW263741,Yukon XL,2006
5,Lincoln,KNDMG4C71E6532505,Navigator,2005
6,Jaguar,WBADW3C56CE437448,XJ Series,1996
7,Lincoln,1G6YV36A865287575,Blackwood,2003
8,Mercedes-Benz,YV1960ASXA1312354,CLK-Class,2000
9,Lexus,WAUEH74F07N711066,ES,2002
10,Acura,SCBZB25E32C451686,Integra,1999
11,Dodge,JTJYWRBZ8F2069305,Charger,1969
12,Pontiac,3D73M3HLXAG875574,Fiero,1987
13,Subaru,WAUBH78E47A020621,Legacy,1998
